id;subject_id;topic_name;class;created_at;updated_at;learning_system
10;8;Natural Numbers;9;2019-09-03 17:08:06;2019-09-03 17:08:06;""
11;2;Add;3;2019-09-03 17:18:15;2019-09-03 17:18:15;""
12;8;Factors;9;2019-09-04 09:50:46;2019-09-04 09:50:46;""
13;8;Divisibility Tests;9;2019-09-04 09:53:09;2019-09-04 09:53:09;""
14;8;Greatest Common Divisor;9;2019-09-04 09:58:58;2019-09-04 09:58:58;""
15;8;Least Common Multiple;9;2019-09-04 10:00:08;2019-09-04 10:00:08;""
16;8;Integers;9;2019-09-04 10:03:22;2019-09-04 10:03:22;""
17;8;Fractions;9;2019-09-04 10:10:44;2019-09-04 10:10:44;""
18;8;Decimals;9;2019-09-04 10:11:49;2019-09-04 10:11:49;""
19;8;Squares and Square Roots;9;2019-09-04 10:28:53;2019-09-04 10:28:53;""
20;8;Algebraic Expressions;9;2019-09-04 10:45:52;2019-09-04 10:45:52;""
21;8;Cubes and Cube Roots;10;2019-09-04 11:31:26;2019-09-04 11:31:26;""
22;8;Reciprocals;10;2019-09-04 11:45:26;2019-09-04 11:45:26;""
23;8;Indices and Logarithms;10;2019-09-04 11:48:39;2019-09-04 11:48:39;""
24;8;Gradient and Equations of Straight Lines;10;2019-09-04 11:54:10;2019-09-04 11:54:10;""
25;8;Reflection and Congruence;10;2019-09-04 11:59:45;2019-09-04 11:59:45;""
26;8;Rotation;10;2019-09-04 12:01:48;2019-09-04 12:01:48;""
27;8;Similarity and Enlargement;10;2019-09-04 12:06:31;2019-09-04 12:06:31;""
28;8;Pythagoras Theorem;10;2019-09-04 12:08:54;2019-09-04 12:08:54;""
29;8;Trigonometry;10;2019-09-04 12:10:56;2019-09-04 12:10:56;""
30;8;Area of a Triangle;10;2019-09-04 12:21:56;2019-09-04 12:21:56;""
31;8;Area of Quadrilaterals and other Polygons;10;2019-09-04 12:24:01;2019-09-04 12:24:01;""
32;8;Area Part of a Circle;10;2019-09-04 12:27:49;2019-09-04 12:27:49;""
33;8;Surface Area of Solids;10;2019-09-04 12:32:16;2019-09-04 12:32:16;""
34;8;Volume of Solids;10;2019-09-04 12:35:13;2019-09-04 12:35:13;""
35;8;Quadratic Expressions and Equations;10;2019-09-04 12:44:04;2019-09-04 12:44:04;""
36;9;Nouns;9;2019-09-04 12:02:22;2019-09-04 12:02:22;""
37;9;Articles;9;2019-09-04 12:06:53;2019-09-04 12:06:53;""
38;9;Pronouns;9;2019-09-04 12:08:25;2019-09-04 12:08:25;""
39;9;Verbs;9;2019-09-04 12:10:29;2019-09-04 12:10:29;""
40;9;Adjectives;9;2019-09-04 12:13:25;2019-09-04 12:13:25;""
41;9;Adverbs;9;2019-09-04 12:14:23;2019-09-04 12:14:23;""
42;9;Prepositions;9;2019-09-04 12:21:59;2019-09-04 12:21:59;""
43;9;Conjunctions;9;2019-09-04 12:23:11;2019-09-04 12:23:11;""
44;9;Phrases;9;2019-09-04 12:23:52;2019-09-04 12:23:52;""
45;9;Simple sentences;9;2019-09-04 12:24:45;2019-09-04 12:24:45;""
46;9;Pronunciation;9;2019-09-04 12:26:38;2019-09-04 12:26:38;""
47;9;Etiquette;9;2019-09-04 12:28:56;2019-09-04 12:28:56;""
48;9;Literature: Listening and responding to literary cues.;9;2019-09-04 12:43:16;2019-09-04 12:43:16;""
49;9;Writing Skills: Personal writing;9;2019-09-04 12:45:46;2019-09-04 12:45:46;""
50;9;Social writing;9;2019-09-04 12:48:13;2019-09-04 12:48:13;""
51;9;Creative writing;9;2019-09-04 12:48:56;2019-09-04 12:48:56;""
52;9;Study writing;9;2019-09-04 12:49:37;2019-09-04 12:49:37;""
53;9;Institutional writing;9;2019-09-04 12:50:37;2019-09-04 12:50:37;""
54;9;Reading Skills: Comprehension Skills;9;2019-09-04 12:52:05;2019-09-04 12:52:05;""
55;9;Nouns;10;2019-09-04 15:37:28;2019-09-04 15:37:28;""
56;9;Pronouns;10;2019-09-04 16:58:29;2019-09-04 16:58:29;""
57;9;Verbs;10;2019-09-04 17:51:56;2019-09-04 17:51:56;""
58;9;Adjectives;10;2019-09-07 09:48:25;2019-09-07 09:48:25;""
59;9;Adverbs;10;2019-09-07 09:53:37;2019-09-07 09:53:37;""
60;9;Prepositions;10;2019-09-07 10:20:28;2019-09-07 10:20:28;""
61;9;Conjunctions;10;2019-09-07 10:23:49;2019-09-07 10:23:49;""
62;9;Nouns;10;2019-09-25 11:44:37;2019-09-25 11:44:37;""
64;10;Ngeli;10;2019-09-25 16:01:43;2019-09-25 16:01:43;""
65;9;Iran War;10;2020-01-08 20:33:51;2020-01-08 20:33:51;""
83;2;Whole Numbers;6;2020-01-13 11:16:55;2020-01-13 11:16:55;""
